,Entity,Code,Year,Average annual hours worked by persons engaged (avh) (PWT 9.1 (2019)),Productivity (PWT 9.1 (2019)),"Total population (Gapminder, HYDE & UN)",Continent
273,Africa,0,1950,0.0,0.0,227794000.0,Africa
274,Africa,0,1951,0.0,0.0,232328000.0,Africa
275,Africa,0,1952,0.0,0.0,237096992.0,Africa
276,Africa,0,1953,0.0,0.0,242092000.0,Africa
277,Africa,0,1954,0.0,0.0,247311008.0,Africa
278,Africa,0,1955,0.0,0.0,252748992.0,Africa
279,Africa,0,1956,0.0,0.0,258408000.0,Africa
280,Africa,0,1957,0.0,0.0,264292000.0,Africa
281,Africa,0,1958,0.0,0.0,270407008.0,Africa
282,Africa,0,1959,0.0,0.0,276760992.0,Africa
283,Africa,0,1960,0.0,0.0,283360992.0,Africa
284,Africa,0,1961,0.0,0.0,290214016.0,Africa
285,Africa,0,1962,0.0,0.0,297323008.0,Africa
286,Africa,0,1963,0.0,0.0,304683008.0,Africa
287,Africa,0,1964,0.0,0.0,312292000.0,Africa
288,Africa,0,1965,0.0,0.0,320147008.0,Africa
289,Africa,0,1966,0.0,0.0,328256992.0,Africa
290,Africa,0,1967,0.0,0.0,336631008.0,Africa
291,Africa,0,1968,0.0,0.0,345280000.0,Africa
292,Africa,0,1969,0.0,0.0,354215008.0,Africa
293,Africa,0,1970,0.0,0.0,363448000.0,Africa
294,Africa,0,1971,0.0,0.0,372984000.0,Africa
295,Africa,0,1972,0.0,0.0,382838016.0,Africa
296,Africa,0,1973,0.0,0.0,393044000.0,Africa
297,Africa,0,1974,0.0,0.0,403646016.0,Africa
298,Africa,0,1975,0.0,0.0,414675008.0,Africa
299,Africa,0,1976,0.0,0.0,426144000.0,Africa
300,Africa,0,1977,0.0,0.0,438055008.0,Africa
301,Africa,0,1978,0.0,0.0,450404000.0,Africa
302,Africa,0,1979,0.0,0.0,463184000.0,Africa
303,Africa,0,1980,0.0,0.0,476385984.0,Africa
304,Africa,0,1981,0.0,0.0,490004000.0,Africa
305,Africa,0,1982,0.0,0.0,504033984.0,Africa
306,Africa,0,1983,0.0,0.0,518480000.0,Africa
307,Africa,0,1984,0.0,0.0,533344992.0,Africa
308,Africa,0,1985,0.0,0.0,548625984.0,Africa
309,Africa,0,1986,0.0,0.0,564326976.0,Africa
310,Africa,0,1987,0.0,0.0,580424000.0,Africa
311,Africa,0,1988,0.0,0.0,596849024.0,Africa
312,Africa,0,1989,0.0,0.0,613512000.0,Africa
313,Africa,0,1990,0.0,0.0,630350016.0,Africa
314,Africa,0,1991,0.0,0.0,647344000.0,Africa
315,Africa,0,1992,0.0,0.0,664512000.0,Africa
316,Africa,0,1993,0.0,0.0,681868992.0,Africa
317,Africa,0,1994,0.0,0.0,699444992.0,Africa
318,Africa,0,1995,0.0,0.0,717270016.0,Africa
319,Africa,0,1996,0.0,0.0,735361024.0,Africa
320,Africa,0,1997,0.0,0.0,753737984.0,Africa
321,Africa,0,1998,0.0,0.0,772436992.0,Africa
322,Africa,0,1999,0.0,0.0,791504000.0,Africa
323,Africa,0,2000,0.0,0.0,810984000.0,Africa
324,Africa,0,2001,0.0,0.0,830902976.0,Africa
325,Africa,0,2002,0.0,0.0,851297984.0,Africa
326,Africa,0,2003,0.0,0.0,872248000.0,Africa
327,Africa,0,2004,0.0,0.0,893843008.0,Africa
328,Africa,0,2005,0.0,0.0,916153984.0,Africa
329,Africa,0,2006,0.0,0.0,939209984.0,Africa
330,Africa,0,2007,0.0,0.0,963022016.0,Africa
331,Africa,0,2008,0.0,0.0,987624000.0,Africa
332,Africa,0,2009,0.0,0.0,1013046016.0,Africa
333,Africa,0,2010,0.0,0.0,1039304000.0,Africa
334,Africa,0,2011,0.0,0.0,1066409984.0,Africa
335,Africa,0,2012,0.0,0.0,1094343040.0,Africa
336,Africa,0,2013,0.0,0.0,1123044992.0,Africa
337,Africa,0,2014,0.0,0.0,1152434048.0,Africa
338,Africa,0,2015,0.0,0.0,1182439040.0,Africa
339,Africa,0,2016,0.0,0.0,1213041024.0,Africa
340,Africa,0,2017,0.0,0.0,1244221952.0,Africa
341,Africa,0,2018,0.0,0.0,1275921024.0,Africa
342,Africa,0,2019,0.0,0.0,1308064000.0,Africa
2147,Asia,0,1950,0.0,0.0,1404909056.0,Asia
2148,Asia,0,1951,0.0,0.0,1435819008.0,Asia
2149,Asia,0,1952,0.0,0.0,1464834048.0,Asia
2150,Asia,0,1953,0.0,0.0,1492894976.0,Asia
2151,Asia,0,1954,0.0,0.0,1520768000.0,Asia
2152,Asia,0,1955,0.0,0.0,1549042048.0,Asia
2153,Asia,0,1956,0.0,0.0,1578121984.0,Asia
2154,Asia,0,1957,0.0,0.0,1608237056.0,Asia
2155,Asia,0,1958,0.0,0.0,1639460992.0,Asia
2156,Asia,0,1959,0.0,0.0,1671747968.0,Asia
2157,Asia,0,1960,0.0,0.0,1705041024.0,Asia
2158,Asia,0,1961,0.0,0.0,1739385984.0,Asia
2159,Asia,0,1962,0.0,0.0,1775031040.0,Asia
2160,Asia,0,1963,0.0,0.0,1812470016.0,Asia
2161,Asia,0,1964,0.0,0.0,1852322944.0,Asia
2162,Asia,0,1965,0.0,0.0,1894973952.0,Asia
2163,Asia,0,1966,0.0,0.0,1940601984.0,Asia
2164,Asia,0,1967,0.0,0.0,1988923008.0,Asia
2165,Asia,0,1968,0.0,0.0,2039270016.0,Asia
2166,Asia,0,1969,0.0,0.0,2090701952.0,Asia
2167,Asia,0,1970,0.0,0.0,2142480000.0,Asia
2168,Asia,0,1971,0.0,0.0,2194450944.0,Asia
2169,Asia,0,1972,0.0,0.0,2246636032.0,Asia
2170,Asia,0,1973,0.0,0.0,2298695936.0,Asia
2171,Asia,0,1974,0.0,0.0,2350278912.0,Asia
2172,Asia,0,1975,0.0,0.0,2401170944.0,Asia
2173,Asia,0,1976,0.0,0.0,2451184128.0,Asia
2174,Asia,0,1977,0.0,0.0,2500443904.0,Asia
2175,Asia,0,1978,0.0,0.0,2549466112.0,Asia
2176,Asia,0,1979,0.0,0.0,2598988032.0,Asia
2177,Asia,0,1980,0.0,0.0,2649577984.0,Asia
2178,Asia,0,1981,0.0,0.0,2701224960.0,Asia
2179,Asia,0,1982,0.0,0.0,2753838080.0,Asia
2180,Asia,0,1983,0.0,0.0,2807784960.0,Asia
2181,Asia,0,1984,0.0,0.0,2863496960.0,Asia
2182,Asia,0,1985,0.0,0.0,2921172992.0,Asia
2183,Asia,0,1986,0.0,0.0,2981063936.0,Asia
2184,Asia,0,1987,0.0,0.0,3042806016.0,Asia
2185,Asia,0,1988,0.0,0.0,3105220096.0,Asia
2186,Asia,0,1989,0.0,0.0,3166705920.0,Asia
2187,Asia,0,1990,0.0,0.0,3226098944.0,Asia
2188,Asia,0,1991,0.0,0.0,3282945024.0,Asia
2189,Asia,0,1992,0.0,0.0,3337511936.0,Asia
2190,Asia,0,1993,0.0,0.0,3390245120.0,Asia
2191,Asia,0,1994,0.0,0.0,3441913088.0,Asia
2192,Asia,0,1995,0.0,0.0,3493086976.0,Asia
2193,Asia,0,1996,0.0,0.0,3543851008.0,Asia
2194,Asia,0,1997,0.0,0.0,3594032896.0,Asia
2195,Asia,0,1998,0.0,0.0,3643663104.0,Asia
2196,Asia,0,1999,0.0,0.0,3692736000.0,Asia
2197,Asia,0,2000,0.0,0.0,3741263104.0,Asia
2198,Asia,0,2001,0.0,0.0,3789285120.0,Asia
2199,Asia,0,2002,0.0,0.0,3836879872.0,Asia
2200,Asia,0,2003,0.0,0.0,3884134912.0,Asia
2201,Asia,0,2004,0.0,0.0,3931145984.0,Asia
2202,Asia,0,2005,0.0,0.0,3977986048.0,Asia
2203,Asia,0,2006,0.0,0.0,4024679936.0,Asia
2204,Asia,0,2007,0.0,0.0,4071215104.0,Asia
2205,Asia,0,2008,0.0,0.0,4117572096.0,Asia
2206,Asia,0,2009,0.0,0.0,4163713024.0,Asia
2207,Asia,0,2010,0.0,0.0,4209594112.0,Asia
2208,Asia,0,2011,0.0,0.0,4255190016.0,Asia
2209,Asia,0,2012,0.0,0.0,4300462080.0,Asia
2210,Asia,0,2013,0.0,0.0,4345331200.0,Asia
2211,Asia,0,2014,0.0,0.0,4389699072.0,Asia
2212,Asia,0,2015,0.0,0.0,4433475072.0,Asia
2213,Asia,0,2016,0.0,0.0,4476608000.0,Asia
2214,Asia,0,2017,0.0,0.0,4519040000.0,Asia
2215,Asia,0,2018,0.0,0.0,4560667136.0,Asia
2216,Asia,0,2019,0.0,0.0,4601371136.0,Asia
13769,Europe,0,1950,0.0,0.0,549329024.0,Europe
13770,Europe,0,1951,0.0,0.0,554324992.0,Europe
13771,Europe,0,1952,0.0,0.0,559694016.0,Europe
13772,Europe,0,1953,0.0,0.0,565281984.0,Europe
13773,Europe,0,1954,0.0,0.0,570969984.0,Europe
13774,Europe,0,1955,0.0,0.0,576678976.0,Europe
13775,Europe,0,1956,0.0,0.0,582371008.0,Europe
13776,Europe,0,1957,0.0,0.0,588048000.0,Europe
13777,Europe,0,1958,0.0,0.0,593742976.0,Europe
13778,Europe,0,1959,0.0,0.0,599513024.0,Europe
13779,Europe,0,1960,0.0,0.0,605406976.0,Europe
13780,Europe,0,1961,0.0,0.0,611433984.0,Europe
13781,Europe,0,1962,0.0,0.0,617536000.0,Europe
13782,Europe,0,1963,0.0,0.0,623574976.0,Europe
13783,Europe,0,1964,0.0,0.0,629366976.0,Europe
13784,Europe,0,1965,0.0,0.0,634782976.0,Europe
13785,Europe,0,1966,0.0,0.0,639761984.0,Europe
13786,Europe,0,1967,0.0,0.0,644345024.0,Europe
13787,Europe,0,1968,0.0,0.0,648636032.0,Europe
13788,Europe,0,1969,0.0,0.0,652790016.0,Europe
13789,Europe,0,1970,0.0,0.0,656918976.0,Europe
13790,Europe,0,1971,0.0,0.0,661056000.0,Europe
13791,Europe,0,1972,0.0,0.0,665164032.0,Europe
13792,Europe,0,1973,0.0,0.0,669208000.0,Europe
13793,Europe,0,1974,0.0,0.0,673132032.0,Europe
13794,Europe,0,1975,0.0,0.0,676894976.0,Europe
13795,Europe,0,1976,0.0,0.0,680497984.0,Europe
13796,Europe,0,1977,0.0,0.0,683960000.0,Europe
13797,Europe,0,1978,0.0,0.0,687286016.0,Europe
13798,Europe,0,1979,0.0,0.0,690484992.0,Europe
13799,Europe,0,1980,0.0,0.0,693566976.0,Europe
13800,Europe,0,1981,0.0,0.0,696513024.0,Europe
13801,Europe,0,1982,0.0,0.0,699329984.0,Europe
13802,Europe,0,1983,0.0,0.0,702070016.0,Europe
13803,Europe,0,1984,0.0,0.0,704806976.0,Europe
13804,Europe,0,1985,0.0,0.0,707584000.0,Europe
13805,Europe,0,1986,0.0,0.0,710422016.0,Europe
13806,Europe,0,1987,0.0,0.0,713278976.0,Europe
13807,Europe,0,1988,0.0,0.0,716057024.0,Europe
13808,Europe,0,1989,0.0,0.0,718617024.0,Europe
13809,Europe,0,1990,0.0,0.0,720857984.0,Europe
13810,Europe,0,1991,0.0,0.0,722776000.0,Europe
13811,Europe,0,1992,0.0,0.0,724390016.0,Europe
13812,Europe,0,1993,0.0,0.0,725657024.0,Europe
13813,Europe,0,1994,0.0,0.0,726529024.0,Europe
13814,Europe,0,1995,0.0,0.0,726993984.0,Europe
13815,Europe,0,1996,0.0,0.0,727020032.0,Europe
13816,Europe,0,1997,0.0,0.0,726668992.0,Europe
13817,Europe,0,1998,0.0,0.0,726142016.0,Europe
13818,Europe,0,1999,0.0,0.0,725705024.0,Europe
13819,Europe,0,2000,0.0,0.0,725558016.0,Europe
13820,Europe,0,2001,0.0,0.0,725772032.0,Europe
13821,Europe,0,2002,0.0,0.0,726312000.0,Europe
13822,Europe,0,2003,0.0,0.0,727134016.0,Europe
13823,Europe,0,2004,0.0,0.0,728150016.0,Europe
13824,Europe,0,2005,0.0,0.0,729288000.0,Europe
13825,Europe,0,2006,0.0,0.0,730547008.0,Europe
13826,Europe,0,2007,0.0,0.0,731939008.0,Europe
13827,Europe,0,2008,0.0,0.0,733416000.0,Europe
13828,Europe,0,2009,0.0,0.0,734923008.0,Europe
13829,Europe,0,2010,0.0,0.0,736412992.0,Europe
13830,Europe,0,2011,0.0,0.0,737851008.0,Europe
13831,Europe,0,2012,0.0,0.0,739225024.0,Europe
13832,Europe,0,2013,0.0,0.0,740542016.0,Europe
13833,Europe,0,2014,0.0,0.0,741817984.0,Europe
13834,Europe,0,2015,0.0,0.0,743059008.0,Europe
13835,Europe,0,2016,0.0,0.0,744268992.0,Europe
13836,Europe,0,2017,0.0,0.0,745414976.0,Europe
13837,Europe,0,2018,0.0,0.0,746419008.0,Europe
13838,Europe,0,2019,0.0,0.0,747182976.0,Europe
22229,Latin America,0,1950,0.0,0.0,168820992.0,Latin America
22230,Latin America,0,1951,0.0,0.0,173280000.0,Latin America
22231,Latin America,0,1952,0.0,0.0,177916000.0,Latin America
22232,Latin America,0,1953,0.0,0.0,182708992.0,Latin America
22233,Latin America,0,1954,0.0,0.0,187648000.0,Latin America
22234,Latin America,0,1955,0.0,0.0,192727008.0,Latin America
22235,Latin America,0,1956,0.0,0.0,197948992.0,Latin America
22236,Latin America,0,1957,0.0,0.0,203320000.0,Latin America
22237,Latin America,0,1958,0.0,0.0,208854000.0,Latin America
22238,Latin America,0,1959,0.0,0.0,214566000.0,Latin America
22239,Latin America,0,1960,0.0,0.0,220470000.0,Latin America
22240,Latin America,0,1961,0.0,0.0,226568000.0,Latin America
22241,Latin America,0,1962,0.0,0.0,232848992.0,Latin America
22242,Latin America,0,1963,0.0,0.0,239283008.0,Latin America
22243,Latin America,0,1964,0.0,0.0,245828992.0,Latin America
22244,Latin America,0,1965,0.0,0.0,252456000.0,Latin America
22245,Latin America,0,1966,0.0,0.0,259154000.0,Latin America
22246,Latin America,0,1967,0.0,0.0,265926000.0,Latin America
22247,Latin America,0,1968,0.0,0.0,272768000.0,Latin America
22248,Latin America,0,1969,0.0,0.0,279684000.0,Latin America
22249,Latin America,0,1970,0.0,0.0,286676000.0,Latin America
22250,Latin America,0,1971,0.0,0.0,293737984.0,Latin America
22251,Latin America,0,1972,0.0,0.0,300868992.0,Latin America
22252,Latin America,0,1973,0.0,0.0,308079008.0,Latin America
22253,Latin America,0,1974,0.0,0.0,315377984.0,Latin America
22254,Latin America,0,1975,0.0,0.0,322776992.0,Latin America
22255,Latin America,0,1976,0.0,0.0,330272000.0,Latin America
22256,Latin America,0,1977,0.0,0.0,337860000.0,Latin America
22257,Latin America,0,1978,0.0,0.0,345548000.0,Latin America
22258,Latin America,0,1979,0.0,0.0,353344992.0,Latin America
22259,Latin America,0,1980,0.0,0.0,361252992.0,Latin America
22260,Latin America,0,1981,0.0,0.0,369275008.0,Latin America
22261,Latin America,0,1982,0.0,0.0,377396000.0,Latin America
22262,Latin America,0,1983,0.0,0.0,385587008.0,Latin America
22263,Latin America,0,1984,0.0,0.0,393806016.0,Latin America
22264,Latin America,0,1985,0.0,0.0,402024000.0,Latin America
22265,Latin America,0,1986,0.0,0.0,410223008.0,Latin America
22266,Latin America,0,1987,0.0,0.0,418404000.0,Latin America
22267,Latin America,0,1988,0.0,0.0,426564992.0,Latin America
22268,Latin America,0,1989,0.0,0.0,434710016.0,Latin America
22269,Latin America,0,1990,0.0,0.0,442840000.0,Latin America
22270,Latin America,0,1991,0.0,0.0,450947008.0,Latin America
22271,Latin America,0,1992,0.0,0.0,459019008.0,Latin America
22272,Latin America,0,1993,0.0,0.0,467055008.0,Latin America
22273,Latin America,0,1994,0.0,0.0,475056000.0,Latin America
22274,Latin America,0,1995,0.0,0.0,483017984.0,Latin America
22275,Latin America,0,1996,0.0,0.0,490944000.0,Latin America
22276,Latin America,0,1997,0.0,0.0,498822016.0,Latin America
22277,Latin America,0,1998,0.0,0.0,506620992.0,Latin America
22278,Latin America,0,1999,0.0,0.0,514300992.0,Latin America
22279,Latin America,0,2000,0.0,0.0,521836000.0,Latin America
22280,Latin America,0,2001,0.0,0.0,529212992.0,Latin America
22281,Latin America,0,2002,0.0,0.0,536441984.0,Latin America
22282,Latin America,0,2003,0.0,0.0,543544000.0,Latin America
22283,Latin America,0,2004,0.0,0.0,550555008.0,Latin America
22284,Latin America,0,2005,0.0,0.0,557500992.0,Latin America
22285,Latin America,0,2006,0.0,0.0,564385024.0,Latin America
22286,Latin America,0,2007,0.0,0.0,571201984.0,Latin America
22287,Latin America,0,2008,0.0,0.0,577963008.0,Latin America
22288,Latin America,0,2009,0.0,0.0,584678016.0,Latin America
22289,Latin America,0,2010,0.0,0.0,591352000.0,Latin America
22290,Latin America,0,2011,0.0,0.0,597995008.0,Latin America
22291,Latin America,0,2012,0.0,0.0,604598976.0,Latin America
22292,Latin America,0,2013,0.0,0.0,611144000.0,Latin America
22293,Latin America,0,2014,0.0,0.0,617596032.0,Latin America
22294,Latin America,0,2015,0.0,0.0,623934016.0,Latin America
22295,Latin America,0,2016,0.0,0.0,630145024.0,Latin America
22296,Latin America,0,2017,0.0,0.0,636233024.0,Latin America
22297,Latin America,0,2018,0.0,0.0,642217024.0,Latin America
22298,Latin America,0,2019,0.0,0.0,648121024.0,Latin America
30256,North America,0,1950,0.0,0.0,172603008.0,North America
30257,North America,0,1951,0.0,0.0,175016992.0,North America
30258,North America,0,1952,0.0,0.0,177779008.0,North America
30259,North America,0,1953,0.0,0.0,180812992.0,North America
30260,North America,0,1954,0.0,0.0,184052000.0,North America
30261,North America,0,1955,0.0,0.0,187430000.0,North America
30262,North America,0,1956,0.0,0.0,190892992.0,North America
30263,North America,0,1957,0.0,0.0,194388000.0,North America
30264,North America,0,1958,0.0,0.0,197870000.0,North America
30265,North America,0,1959,0.0,0.0,201300992.0,North America
30266,North America,0,1960,0.0,0.0,204648992.0,North America
30267,North America,0,1961,0.0,0.0,207887008.0,North America
30268,North America,0,1962,0.0,0.0,210996000.0,North America
